company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
STK INTERNATIONAL LTD,13847282,Active,Private limited company,,13/01/2022,62020 62090 63110 82990,Kemp House 160 City Road London EC1V 2NX
PRIMA ARINDA LTD,13847321,Active,Private limited company,,13/01/2022,96090,Kemp House 160 City Road London EC1V 2NX
CLEAN ACCESS LTD,13846798,Active,Private limited company,,13/01/2022,81210,Kemp House 160 City Road London EC1V 2NX
TRIVOLI LIMITED,13846292,Active,Private limited company,,13/01/2022,43210 45112 46341 47190,Kemp House 160 City Road London EC1V 2NX
AFORME LTD,13845685,Active,Private limited company,,13/01/2022,47910,Kemp House 160 City Road London EC1V 2NX
ARIAVA LTD,13845834,Active,Private limited company,,13/01/2022,46190 46900 47190 47910,Kemp House 160 City Road London EC1V 2NX
DMI - DIGITAL MARKETING AGENCY LTD,13846045,Active,Private limited company,,13/01/2022,73110,Kemp House 160 City Road London EC1V 2NX
JERCEY LTD,13845707,Active,Private limited company,,13/01/2022,64305,Kemp House 160 City Road London EC1V 2NX
IRTZA & IMITED LTD,13846051,Active,Private limited company,,13/01/2022,47990,Kemp House 152-160 City Road London EC1V 2NX
SINEKIT LTD,13845937,Active,Private limited company,,13/01/2022,47910,Kemp House 152 - 160 City Road London EC1V 2NX
TECHNICAL PROJECT SERVICES LTD,13846990,Active,Private limited company,,13/01/2022,71122,Jubilee House East Beach Lytham St.Annes FY8 5FT
WENDY HOMES LTD,SC719699,Active,Private limited company,,13/01/2022,55100,Islabank Auchterarder Perthshire PH3 1DR
24HAYMARKET (KCP NOMINEES) LIMITED,13847055,Active,Private limited company,,13/01/2022,82990,Hyde Park House 5 Manfred Road London SW15 2RS
PURE HANDS ON LTD,13846043,Active,Private limited company,,13/01/2022,86900,Heatherstone Lodge Banbury Road Buckingham MK18 4AJ
QUOVADIS DEVELOPMENTS LTD,13847061,Active,Private limited company,,13/01/2022,41100,Harwood House Harwood House New Road Bristol BS37 7QH
WALKER PAYNE LOGISTICS LIMITED,13845628,Active,Private limited company,,13/01/2022,49410,Grove Farm Chewton Mendip Radstock BA3 4NZ
RUMMY LONDON LIMITED,13845735,Active,Private limited company,,13/01/2022,47910,Flat 9 43-57 Peterborough Road London SW6 3BT
GOTOHOME LTD,13847484,Active,Private limited company,,13/01/2022,47599,"Flat 80 , Bryant, Perceval Square College Road Harrow HA1 1GY"
BLUE FOX PARTNERS LP,LP022320,Active,Limited partnership,,13/01/2022, ,Flat 8 Gransden House 115 Park Road Crouch End London N8 8JN
WOW LABORATORIES LTD,13846734,Active,Private limited company,,13/01/2022,62012 62020 63110 72110,Flat 66 Mayford Oakley Square London NW1 1NY
THE CONSCIOUS AI LTD,13846674,Active,Private limited company,,13/01/2022,72190,Flat 63 Constable House Cassilis Road London E14 9LH
NEETEX LTD,13845621,Active,Private limited company,,13/01/2022,47910,Flat 5 16 Rothsay Road Bedford MK40 3PN
BESPOKE CHANGE CONSULTING LTD,13846395,Active,Private limited company,,13/01/2022,70229,Flat 2306 One Casson Square London SE1 7EN
INTU-ME-CI LIMITED,13846795,Active,Private limited by guarantee without share capital,,13/01/2022,96040,Flat 22 David House 45 High Street London SE25 6HJ
H NAIM PROPERTIES LIMITED,SC719667,Active,Private limited company,,13/01/2022,68100,Flat 2/3 76 Barrland Street Glasgow G41 1RE
1V LTD,13845703,Active,Private limited company,,13/01/2022,47710,Flat 2 Alfred Salter House Longfield Estate London SE1 5PS
LUCIE AVENELL AESTHETICS LTD,13845751,Active,Private limited company,,13/01/2022,96020,Flat 2 64 High Street Marlow SL7 1AH
WEST FOOD DISTRIBUTION LTD,13846879,Active,Private limited company,,13/01/2022,46360,Flat 16 Speedwell House Hillmeads Road Birmingham B38 9NN
PATTS PUBLISHING LIMITED,13847558,Active,Private limited company,,13/01/2022,58110 58190,Flat 13 Long Gables 10 South Park Gerrards Cross SL9 8HE
SCRL EBAC LTD,13846172,Active,Private limited company,,13/01/2022,49410,Flat 1 12 Connaught Place London W2 2ET
FIRST STONE PROPERTY LTD,13846116,Active,Private limited company,,13/01/2022,41100 68100 87200 98000,First Floor Flat Ardmore House 1 Lower Camden Chislehurst BR7 5HY
PSTA LIMITED,13846992,Active,Private limited company,,13/01/2022,86210,First Floor 49 Peter Street Manchester M2 3NG
BEYOND BEER LTD,13846254,Active,Private limited company,,13/01/2022,56101,First Floor 244 Edgware Road London W2 1DS
C & J CONTROL SERVICES LTD,SC719722,Active,Private limited company,,13/01/2022,1700,First Floor 24 Blythswood Square Glasgow G2 4BG
METROLAND 380 LTD,13847606,Active,Private limited company,,13/01/2022,68209,First Floor 10 Hampden Square Southgate London N14 5JR
PHILLIPS HEATING & PLUMBING LIMITED,13845926,Active,Private limited company,,13/01/2022,43220,Faveo House 2 Somerville Court Banbury Business Park Adderbury OX17 3SN
EVENTS 365 LIMITED,13847030,Active,Private limited company,,13/01/2022,56210,Enterprise House Ocean Way Southampton SO14 3XB
A RAE LTD,13847605,Active,Private limited company,,13/01/2022,42990 77320,Egerton House 55 Hoole Road Chester CH2 3NJ
GB99 LTD,SC719755,Active,Private limited company,,13/01/2022,68100 68201 68209 68320,"Day Today Express, 53 High Street Glasgow G1 1LX"
D & L PROPERTY GROUP LTD,13846394,Active,Private limited company,,13/01/2022,68209,Collingwood Buildings 38 Collingwood Street Newcastle Upon Tyne NE1 1JF
TYNE TEES EPC LTD,13846262,Active,Private limited company,,13/01/2022,74901,Collingwood Buildings 38 Collingwood Street Newcastle NE1 1JF
