company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
YEKA BUILD LTD,13842955,Active,Private limited company,,2022-01-12,41202 43310 43341 43390,71-75 Shelton Street Covent Garden London WC2H 9JQ
BUDS & HERBS LTD,13842964,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
CLARITY UK GROUP LIMITED,13843490,Active,Private limited company,,2022-01-12,49410,71-75 Shelton Street Covent Garden London WC2H 9JQ
ASCEND MINETECH SOLUTIONS LTD,13843767,Active,Private limited company,,2022-01-12,62012 64304,71-75 Shelton Street Covent Garden London WC2H 9JQ
JOCASTE LTD,13843361,Active,Private limited company,,2022-01-12,94110,71-75 Shelton Street Covent Garden London WC2H 9JQ
ULTRAPIP FX LTD,13844794,Active,Private limited company,,2022-01-12,66300,71-75 Shelton Street Covent Garden London WC2H 9JQ
DIGISA DIGITAL LTD,13844793,Active,Private limited company,,2022-01-12,47910 62011 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
LOSREX LTD,13846431,Active,Private limited company,,2022-01-13,46180 46760,71-75 Shelton Street Covent Garden London WC2H 9JQ
INFINITY WAREHOUSING & LOGISTICS LTD,13847257,Active,Private limited company,,2022-01-13,52103 52243,71-75 Shelton Street Covent Garden London WC2H 9JQ
TRANS 2000 LIMITED,13847319,Active,Private limited company,,2022-01-13,49410,71-75 Shelton Street Covent Garden London WC2H 9JQ
NEWHAMPTON ASSET MANAGEMENT LIMITED,13844858,Active,Private limited company,,2022-01-12,64204 64999,71-75 Shelton Street Covent Garden London WC2H 9JQ
CAGMILITARIA LTD,13846565,Active,Private limited company,,2022-01-13,47791 47799,71-75 Shelton Street Covent Garden London WC2H 9JQ
NARROWBRIDGE LIMITED,13846567,Active,Private limited company,,2022-01-13,64303 69109 70229 74909,71-75 Shelton Street Covent Garden London WC2H 9JQ
TICS TECHNOLOGY LIMITED,13846816,Active,Private limited company,,2022-01-13,27510 27520 46439 46900,71-75 Shelton Street Covent Garden London WC2H 9JQ
ATAKTON LTD,13847610,Active,Private limited company,,2022-01-13,62020 70229 74100 90030,71-75 Shelton Street Covent Garden London WC2H 9JQ
BGD TECHNOLOGIES (UK) LIMITED,13846263,Active,Private limited company,,2022-01-13,47190 47910 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
HSAR LIMITED,13845639,Active,Private limited company,,2022-01-13,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
MOUAD LTD,13845828,Active,Private limited company,,2022-01-13,47710,71-75 Shelton Street Covent Garden London WC2H 9JQ
CYBERNITE TECHNOLOGIES LTD,13845831,Active,Private limited company,,2022-01-13,62012 62020 62090 63110,71-75 Shelton Street Covent Garden London WC2H 9JQ
GLODIVE LTD,13845957,Active,Private limited company,,2022-01-13,62020 62090 74300 85590,71-75 Shelton Street Covent Garden London WC2H 9JQ
ARUTBA LTD,13845989,Active,Private limited company,,2022-01-13,64205 64301 64999 66110,71-75 Shelton Street Covent Garden London WC2H 9JQ
